iter	MultiClassOneVsAll
484	0.3534696662
485	0.3531360489
486	0.3528950921
487	0.3526690924
488	0.3524748038
489	0.3519955557
490	0.3517244956
491	0.3513055449
492	0.3510153528
493	0.3506334142
494	0.3503141562
495	0.3500299981
496	0.3496167405
497	0.3493838235
498	0.3489808158
499	0.3486907693
500	0.3484511078
501	0.3481556789
502	0.3480261764
503	0.3476407795
504	0.3473113781
505	0.3470467575
506	0.3467435313
507	0.3464323551
508	0.3461226966
509	0.34578198
510	0.3455980868
511	0.3452672254
512	0.3448559433
513	0.3445882692
514	0.3442846157
515	0.3439402118
516	0.343628934
517	0.3433720134
518	0.3430375055
519	0.3427178155
520	0.3423105219
521	0.3421553226
522	0.3418900772
523	0.3415120881
524	0.3411781828
525	0.3409367739
526	0.3407243291
527	0.3404919475
528	0.3400245334
529	0.3397409247
530	0.3394579966
531	0.3390779494
532	0.3388950128
533	0.3386775798
534	0.3382650129
535	0.3379384075
536	0.3376751084
537	0.3373625263
538	0.3370289253
539	0.3366057498
540	0.336230106
541	0.3356410134
542	0.3353538496
543	0.334984795
544	0.33483264
545	0.334425762
546	0.3340758255
547	0.3337405831
548	0.3334325188
549	0.3331624771
550	0.3329209933
551	0.3326622793
552	0.332315363
553	0.3319716681
554	0.331775187
555	0.3314450587
556	0.3310723427
557	0.3308598554
558	0.3305494106
559	0.3302779425
560	0.3298293032
561	0.329566668
562	0.3291965608
563	0.328836567
564	0.3286035321
565	0.3282580963
566	0.3280276591
567	0.3277805171
568	0.3275293814
569	0.3272597865
570	0.3269855726
571	0.3266620174
572	0.3263669708
573	0.3260755581
574	0.3257075328
575	0.3253850759
576	0.325069093
577	0.3247373631
578	0.3243769763
579	0.324121538
580	0.3237234265
581	0.3233627393
582	0.3230196102
583	0.322650946
584	0.3223359189
585	0.3219917118
586	0.3217087318
587	0.3214351448
588	0.321191645
589	0.3208353338
590	0.3205959593
591	0.3202471331
592	0.3199722691
593	0.3196539843
594	0.3193261661
595	0.3190106198
596	0.3187134625
597	0.318400848
598	0.3180114629
599	0.317663463
600	0.3173944231
601	0.317089586
602	0.3167546551
603	0.3165031064
604	0.3161903974
605	0.3158428852
606	0.3154793299
607	0.3151545197
608	0.3148099141
609	0.3145047956
610	0.3142813709
611	0.3140471355
612	0.3137484284
613	0.3134058484
614	0.3130852328
615	0.3127355915
616	0.3123915161
617	0.3120582656
618	0.311761685
619	0.3114005479
620	0.3110970121
621	0.3108117476
622	0.310528637
623	0.3102023615
624	0.3098774199
625	0.3095265509
626	0.308999991
627	0.3085832491
628	0.3082926161
629	0.3079566324
630	0.3076196967
631	0.3073364375
632	0.3071219292
633	0.3068588476
